rank,symbol,earnings_date,time_of_day,from_date,to_date,from_close,to_close,pct_change
71,WAB,2020-02-18,bmo,2020-02-18,2020-03-31,80.01,48.13,-39.85%
72,APP,2022-11-09,amc,2022-11-10,2022-12-23,16.28,9.84,-39.56%
73,L,2020-02-10,bmo,2020-02-10,2020-03-24,55.81,33.74,-39.54%
74,EMR,2020-02-04,amc,2020-02-05,2020-03-19,76.01,46.02,-39.46%
75,DIS,2020-02-04,bmo,2020-02-04,2020-03-18,144.73,88.80,-38.64%
76,CTSH,2020-02-05,amc,2020-02-06,2020-03-20,71.42,44.10,-38.25%
77,HOOD,2021-10-26,amc,2021-10-27,2021-12-09,35.44,21.91,-38.18%
78,NSC,2020-01-29,bmo,2020-01-29,2020-03-12,214.83,133.50,-37.86%
79,NWSA,2020-02-06,bmo,2020-02-06,2020-03-20,14.47,9.02,-37.66%
80,SNA,2020-02-06,bmo,2020-02-06,2020-03-20,160.06,99.87,-37.60%
81,CBOE,2020-02-07,bmo,2020-02-07,2020-03-23,122.54,76.54,-37.54%
82,CMG,2020-02-04,amc,2020-02-05,2020-03-19,17.08,10.72,-37.24%
83,GPC,2020-02-19,bmo,2020-02-19,2020-04-01,99.35,62.74,-36.85%
84,FRT,2020-02-10,amc,2020-02-11,2020-03-25,124.00,78.51,-36.69%
85,DTE,2020-02-05,bmo,2020-02-05,2020-03-19,114.40,72.67,-36.48%
86,INVH,2020-02-18,amc,2020-02-19,2020-04-01,31.77,20.28,-36.17%
87,HLT,2020-02-11,bmo,2020-02-11,2020-03-25,112.94,72.25,-36.03%
88,URI,2020-01-29,amc,2020-01-30,2020-03-13,141.58,91.01,-35.72%
89,ETR,2020-02-19,bmo,2020-02-19,2020-04-01,66.55,42.79,-35.70%
90,SWK,2020-01-29,bmo,2020-01-29,2020-03-12,162.75,104.74,-35.64%
91,REG,2020-02-12,amc,2020-02-13,2020-03-27,62.83,40.49,-35.56%
92,HAL,2020-01-21,bmo,2020-01-21,2020-03-04,23.77,15.39,-35.25%
93,HPQ,2020-02-24,amc,2020-02-25,2020-04-07,23.35,15.12,-35.25%
94,FE,2020-02-07,bmo,2020-02-07,2020-03-23,51.23,33.19,-35.21%
95,LYV,2020-02-27,amc,2020-02-28,2020-04-13,60.77,39.41,-35.15%
96,TFC,2020-01-30,bmo,2020-01-30,2020-03-13,52.13,33.83,-35.10%
97,CF,2020-02-12,amc,2020-02-13,2020-03-27,39.34,25.55,-35.05%
98,SPGI,2020-02-06,amc,2020-02-07,2020-03-23,295.48,192.05,-35.00%
99,CVX,2020-01-31,bmo,2020-01-31,2020-03-16,107.14,69.70,-34.94%
100,EPAM,2022-02-17,bmo,2022-02-17,2022-04-01,440.99,287.04,-34.91%
101,WMB,2020-02-19,amc,2020-02-20,2020-04-02,22.05,14.38,-34.78%
102,COIN,2022-11-03,bmo,2022-11-03,2022-12-16,55.80,36.60,-34.41%
103,PNW,2020-02-21,bmo,2020-02-21,2020-04-03,103.60,68.19,-34.18%
104,LH,2020-02-13,bmo,2020-02-13,2020-03-27,167.29,110.57,-33.91%
105,NUE,2020-01-28,amc,2020-01-29,2020-03-12,48.06,31.77,-33.90%
106,CPRT,2020-02-19,amc,2020-02-20,2020-04-02,24.33,16.10,-33.83%
107,DOC,2020-02-11,amc,2020-02-12,2020-03-26,36.75,24.32,-33.82%
108,ORLY,2020-02-05,amc,2020-02-06,2020-03-20,26.54,17.58,-33.76%
109,PAYC,2020-02-05,amc,2020-02-06,2020-03-20,290.71,192.81,-33.68%
110,BSX,2020-02-05,bmo,2020-02-05,2020-03-19,42.62,28.27,-33.67%
111,AMP,2020-01-29,amc,2020-01-30,2020-03-13,170.51,113.34,-33.53%
112,TRMB,2020-02-12,amc,2020-02-13,2020-03-27,44.90,29.85,-33.52%
113,CINF,2020-02-05,amc,2020-02-06,2020-03-20,112.84,75.03,-33.51%
114,IQV,2020-02-12,bmo,2020-02-12,2020-03-26,166.11,110.55,-33.45%
115,IPG,2020-02-12,bmo,2020-02-12,2020-03-26,24.98,16.64,-33.39%
116,DXCM,2022-04-28,amc,2022-04-29,2022-06-13,102.14,68.06,-33.37%
117,HAS,2020-02-11,bmo,2020-02-11,2020-03-25,100.10,66.79,-33.28%
118,MTCH,2020-02-05,bmo,2020-02-05,2020-03-19,76.00,50.76,-33.21%
119,AMAT,2020-02-12,amc,2020-02-13,2020-03-27,67.37,45.05,-33.13%
120,PSKY,2021-02-24,amc,2021-02-25,2021-04-09,62.50,41.88,-32.99%
121,CI,2020-02-06,bmo,2020-02-06,2020-03-20,211.86,142.09,-32.93%
122,RTX,2020-01-28,amc,2020-01-29,2020-03-12,90.14,60.46,-32.93%
123,TSN,2020-02-06,bmo,2020-02-06,2020-03-20,79.77,53.62,-32.78%
124,HUBB,2020-02-04,bmo,2020-02-04,2020-03-18,143.66,96.67,-32.71%
125,AVB,2020-02-05,bmo,2020-02-05,2020-03-19,217.61,146.57,-32.65%
126,TROW,2020-01-29,bmo,2020-01-29,2020-03-12,136.12,91.73,-32.61%
127,NVDA,2022-08-24,amc,2022-08-25,2022-10-07,17.91,12.08,-32.55%
128,OMC,2020-02-11,bmo,2020-02-11,2020-03-25,77.28,52.16,-32.51%
129,ADI,2020-02-19,bmo,2020-02-19,2020-04-01,123.89,84.09,-32.13%
130,FSLR,2020-02-20,amc,2020-02-21,2020-04-03,50.59,34.38,-32.04%
131,ETN,2020-02-04,bmo,2020-02-04,2020-03-18,100.91,68.82,-31.80%
132,DDOG,2021-02-11,amc,2021-02-12,2021-03-29,112.86,77.04,-31.74%
133,KIM,2020-01-30,bmo,2020-01-30,2020-03-13,19.35,13.22,-31.68%
134,PH,2020-01-30,bmo,2020-01-30,2020-03-13,205.15,140.32,-31.60%
135,BG,2020-02-12,bmo,2020-02-12,2020-03-26,55.02,37.64,-31.59%
136,EOG,2020-02-27,amc,2020-02-28,2020-04-13,63.26,43.29,-31.57%
137,ALLE,2020-02-18,bmo,2020-02-18,2020-03-31,134.36,92.02,-31.51%
138,KKR,2020-01-31,bmo,2020-01-31,2020-03-16,31.90,21.88,-31.41%
139,MAR,2020-02-26,bmo,2020-02-26,2020-04-08,120.19,82.53,-31.33%
140,OXY,2020-08-10,amc,2020-08-11,2020-09-23,15.16,10.41,-31.33%
141,ALGN,2020-01-29,bmo,2020-01-29,2020-03-12,261.60,180.12,-31.15%
142,CRL,2020-02-11,bmo,2020-02-11,2020-03-25,173.32,119.35,-31.14%
143,HBAN,2020-01-23,amc,2020-01-24,2020-03-09,13.72,9.45,-31.12%
144,GRMN,2020-02-19,bmo,2020-02-19,2020-04-01,103.67,71.41,-31.12%
145,TEL,2020-01-29,bmo,2020-01-29,2020-03-12,98.07,67.60,-31.07%
