rank,symbol,year,quarter,earnings_date,category,session,predicted,confidence,confidence_normalized,csv_t30_change,t30_actual,hit_result,status,elapsed_seconds,from_date,to_date,from_close,to_close,tag_financials,tag_past,tag_peers,main_summary,notes_financials,notes_past,notes_peers,raw_output,error
1,GL,2020,2,2020-07-23,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,142.0,,,,,N/A,N/A,N/A,,,,,,
2,BEN,2025,1,2025-01-31,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,132.4,,,,,N/A,N/A,N/A,,,,,,
3,OXY,2024,2,2024-08-09,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.5,,,,,N/A,N/A,N/A,,,,,,
4,EPAM,2025,1,2025-05-08,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,133.0,,,,,N/A,N/A,N/A,,,,,,
5,MLM,2024,2,2024-08-08,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,1313.8,,,,,N/A,N/A,N/A,,,,,,
6,NKE,2025,1,2024-10-02,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,109.8,,,,,N/A,N/A,N/A,,,,,,
7,F,2023,2,2023-07-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.5,,,,,N/A,N/A,N/A,,,,,,
8,NTRS,2021,1,2021-04-20,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,709.5,,,,,N/A,N/A,N/A,,,,,,
9,ADI,2024,2,2024-05-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,120.1,,,,,N/A,N/A,N/A,,,,,,
10,ETN,2024,2,2024-08-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,109.2,,,,,N/A,N/A,N/A,,,,,,
11,SBUX,2025,2,2025-04-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,111.2,,,,,N/A,N/A,N/A,,,,,,
12,EME,2021,4,2022-02-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,118.1,,,,,N/A,N/A,N/A,,,,,,
13,AMD,2022,4,2023-02-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,133.4,,,,,N/A,N/A,N/A,,,,,,
14,AFL,2024,1,2024-05-02,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,108.6,,,,,N/A,N/A,N/A,,,,,,
15,FRT,2020,1,2020-05-07,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.6,,,,,N/A,N/A,N/A,,,,,,
16,XOM,2024,1,2024-04-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,132.9,,,,,N/A,N/A,N/A,,,,,,
17,NXPI,2020,2,2020-07-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,133.0,,,,,N/A,N/A,N/A,,,,,,
18,ERIE,2020,1,2020-05-08,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,195.1,,,,,N/A,N/A,N/A,,,,,,
19,AVB,2025,1,2025-05-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,105.8,,,,,N/A,N/A,N/A,,,,,,
20,CMCSA,2024,1,2024-04-25,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,697.2,,,,,N/A,N/A,N/A,,,,,,
21,GNRC,2023,1,2023-05-03,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
22,NXPI,2024,1,2024-04-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,133.9,,,,,N/A,N/A,N/A,,,,,,
23,BX,2022,1,2022-04-21,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,101.7,,,,,N/A,N/A,N/A,,,,,,
24,HAS,2023,1,2023-04-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.5,,,,,N/A,N/A,N/A,,,,,,
