rank,symbol,earnings_date,time_of_day,from_date,to_date,from_close,to_close,pct_change
40,PLTR,2023-05-08,amc,2023-05-09,2023-06-22,9.55,14.05,47.12%
41,OXY,2020-05-05,amc,2020-05-06,2020-06-18,13.40,19.67,46.79%
42,UAL,2020-04-30,amc,2020-05-01,2020-06-15,26.62,39.00,46.51%
43,BKR,2020-10-21,bmo,2020-10-21,2020-12-03,14.04,20.42,45.44%
44,RCL,2023-10-26,bmo,2023-10-26,2023-12-08,82.88,120.47,45.35%
45,EOG,2020-11-05,amc,2020-11-06,2020-12-21,34.58,50.08,44.82%
46,WYNN,2020-11-05,bmo,2020-11-05,2020-12-18,80.13,115.93,44.68%
47,PSKY,2020-05-07,bmo,2020-05-07,2020-06-19,16.42,23.69,44.28%
48,DAL,2020-04-22,bmo,2020-04-22,2020-06-04,22.47,32.38,44.10%
49,PSX,2020-10-30,bmo,2020-10-30,2020-12-14,46.66,67.19,44.00%
50,IVZ,2020-04-23,bmo,2020-04-23,2020-06-05,7.24,10.41,43.78%
51,TPL,2021-02-25,bmo,2021-02-25,2021-04-09,370.62,532.73,43.74%
52,RL,2020-10-29,bmo,2020-10-29,2020-12-11,70.58,101.34,43.58%
53,OKE,2020-10-27,amc,2020-10-28,2020-12-10,29.09,41.75,43.52%
54,BLDR,2023-11-01,bmo,2023-11-01,2023-12-14,117.47,168.37,43.33%
55,MGM,2020-07-30,amc,2020-07-31,2020-09-14,16.09,23.06,43.32%
56,BXP,2020-10-27,amc,2020-10-28,2020-12-10,71.15,101.90,43.22%
57,NUE,2021-04-22,bmo,2021-04-22,2021-06-04,76.09,108.78,42.96%
58,CCL,2021-01-26,bmo,2021-01-26,2021-03-10,18.72,26.70,42.63%
59,NUE,2021-01-28,amc,2021-01-29,2021-03-15,48.73,69.50,42.62%
60,COF,2020-04-23,amc,2020-04-24,2020-06-08,56.15,80.00,42.48%
61,RCL,2020-10-29,bmo,2020-10-29,2020-12-11,53.83,76.46,42.04%
62,NCLH,2020-05-14,bmo,2020-05-14,2020-06-26,10.76,15.28,42.01%
63,MGM,2020-10-29,bmo,2020-10-29,2020-12-11,21.29,30.18,41.76%
64,URI,2020-10-28,bmo,2020-10-28,2020-12-10,170.73,241.98,41.73%
65,TDG,2020-05-05,bmo,2020-05-05,2020-06-17,324.59,459.69,41.62%
66,VLO,2021-01-28,bmo,2021-01-28,2021-03-12,58.33,82.42,41.30%
67,TSLA,2020-10-21,amc,2020-10-22,2020-12-04,141.93,199.68,40.69%
68,HAL,2020-10-19,bmo,2020-10-19,2020-12-01,12.17,17.08,40.35%
69,IDXX,2023-11-01,bmo,2023-11-01,2023-12-14,395.35,554.18,40.17%
70,CCL,2022-12-21,bmo,2022-12-21,2023-02-06,8.48,11.87,39.98%
71,PLTR,2024-11-04,amc,2024-11-05,2024-12-18,51.13,71.51,39.86%
72,NUE,2022-01-27,bmo,2022-01-27,2022-03-11,96.74,135.25,39.81%
73,TXT,2020-10-29,bmo,2020-10-29,2020-12-11,34.07,47.63,39.80%
74,EL,2023-11-01,bmo,2023-11-01,2023-12-14,104.51,146.06,39.76%
75,LRCX,2020-10-21,amc,2020-10-22,2020-12-04,35.80,50.00,39.66%
76,APP,2021-08-11,amc,2021-08-12,2021-09-24,56.96,79.47,39.52%
77,SLB,2021-04-23,bmo,2021-04-23,2021-06-07,25.71,35.83,39.36%
78,HBAN,2020-04-23,amc,2020-04-24,2020-06-08,8.16,11.35,39.09%
79,SLB,2020-10-16,bmo,2020-10-16,2020-11-30,14.97,20.79,38.88%
80,COP,2021-02-02,bmo,2021-02-02,2021-03-17,40.97,56.83,38.71%
81,BLDR,2020-07-30,amc,2020-07-31,2020-09-14,23.69,32.85,38.67%
82,CF,2022-02-15,amc,2022-02-16,2022-03-31,74.42,103.06,38.48%
83,OXY,2020-11-09,bmo,2020-11-09,2020-12-22,12.23,16.92,38.35%
84,APP,2024-11-06,amc,2024-11-07,2024-12-20,246.53,340.99,38.32%
85,CCL,2020-04-03,amc,2020-04-06,2020-05-19,10.21,14.11,38.20%
86,FCX,2022-10-20,bmo,2022-10-20,2022-12-02,29.12,40.22,38.12%
87,KIM,2020-11-05,bmo,2020-11-05,2020-12-18,10.59,14.62,38.05%
88,CCI,2023-10-18,amc,2023-10-19,2023-12-01,85.89,118.57,38.05%
89,VICI,2020-04-30,amc,2020-05-01,2020-06-15,16.56,22.83,37.86%
90,MPWR,2023-10-30,amc,2023-10-31,2023-12-13,441.74,608.72,37.80%
91,CF,2020-11-04,amc,2020-11-05,2020-12-18,27.34,37.64,37.67%
92,OKE,2020-04-28,bmo,2020-04-28,2020-06-10,30.53,41.98,37.50%
93,LUV,2021-01-28,bmo,2021-01-28,2021-03-12,44.60,61.03,36.84%
94,PLTR,2024-08-05,amc,2024-08-06,2024-09-18,26.59,36.38,36.82%
95,VLO,2022-04-26,bmo,2022-04-26,2022-06-08,105.14,143.77,36.74%
96,FCX,2020-10-22,bmo,2020-10-22,2020-12-04,18.35,25.06,36.57%
97,VST,2024-08-08,bmo,2024-08-08,2024-09-20,79.08,107.88,36.42%
98,NRG,2024-02-28,bmo,2024-02-28,2024-04-11,54.70,74.59,36.36%
99,COIN,2024-02-15,amc,2024-02-16,2024-04-02,180.31,245.84,36.34%
100,VST,2024-02-28,bmo,2024-02-28,2024-04-11,53.02,72.00,35.80%
101,EME,2020-10-29,bmo,2020-10-29,2020-12-11,66.32,90.00,35.71%
102,F,2021-04-28,amc,2021-04-29,2021-06-11,11.26,15.28,35.70%
103,TECH,2023-10-31,bmo,2023-10-31,2023-12-13,54.63,74.00,35.46%
104,PAYC,2023-10-31,amc,2023-11-01,2023-12-14,150.69,203.71,35.18%
105,MPC,2020-11-02,bmo,2020-11-02,2020-12-15,31.30,42.25,34.98%
106,IP,2024-04-25,bmo,2024-04-25,2024-06-07,33.52,45.21,34.87%
107,TSLA,2020-07-22,amc,2020-07-23,2020-09-03,100.87,135.67,34.50%
108,GNRC,2023-11-01,bmo,2023-11-01,2023-12-14,96.13,129.06,34.26%
109,EFX,2022-10-19,amc,2022-10-20,2022-12-02,150.24,201.38,34.04%
110,CRL,2023-11-08,bmo,2023-11-08,2023-12-21,175.97,235.72,33.95%
111,NCLH,2023-05-01,bmo,2023-05-01,2023-06-13,14.54,19.47,33.91%
112,BA,2022-10-26,bmo,2022-10-26,2022-12-08,133.79,179.08,33.85%
113,EFX,2020-04-20,amc,2020-04-21,2020-06-03,130.04,174.01,33.81%
114,UAL,2024-10-15,amc,2024-10-16,2024-11-27,72.02,96.35,33.78%
115,BA,2023-10-25,bmo,2023-10-25,2023-12-07,177.73,237.33,33.53%
116,STLD,2021-01-25,amc,2021-01-26,2021-03-10,36.61,48.79,33.27%
117,CCL,2024-09-30,bmo,2024-09-30,2024-11-11,18.48,24.60,33.12%
118,WDC,2020-10-28,bmo,2020-10-28,2020-12-10,29.33,39.00,32.97%
119,REG,2020-11-05,amc,2020-11-06,2020-12-21,34.05,45.24,32.86%
120,HIG,2021-02-04,bmo,2021-02-04,2021-03-19,50.94,67.68,32.86%
121,AVGO,2023-12-07,amc,2023-12-08,2024-01-24,94.43,125.39,32.79%
122,FCX,2020-04-24,bmo,2020-04-24,2020-06-08,8.48,11.25,32.67%
123,RCL,2023-05-04,bmo,2023-05-04,2023-06-16,71.88,95.30,32.58%
124,IPG,2020-04-22,bmo,2020-04-22,2020-06-04,14.04,18.61,32.55%
125,DDOG,2021-05-06,amc,2021-05-07,2021-06-21,77.29,102.35,32.42%
126,NVDA,2021-05-26,amc,2021-05-27,2021-07-12,15.49,20.51,32.41%
127,BKR,2021-04-21,bmo,2021-04-21,2021-06-03,19.55,25.86,32.28%
128,UAL,2020-10-14,amc,2020-10-15,2020-11-27,34.25,45.30,32.26%
129,DXCM,2023-10-26,amc,2023-10-27,2023-12-11,89.29,117.90,32.04%
130,BKR,2020-04-22,bmo,2020-04-22,2020-06-04,12.99,17.15,32.02%
131,CEG,2022-02-25,amc,2022-02-28,2022-04-11,45.98,60.68,31.97%
132,PFG,2020-04-27,amc,2020-04-28,2020-06-10,33.61,44.34,31.93%
133,APA,2022-08-03,amc,2022-08-04,2022-09-16,30.68,40.46,31.88%
134,OMC,2020-10-27,bmo,2020-10-27,2020-12-09,48.82,64.36,31.83%
135,TTD,2021-05-10,bmo,2021-05-10,2021-06-22,48.96,64.50,31.74%
136,EXPE,2023-11-02,amc,2023-11-03,2023-12-18,112.71,148.47,31.73%
137,EXR,2023-11-07,amc,2023-11-08,2023-12-21,118.53,156.10,31.70%
138,ALB,2020-11-04,amc,2020-11-05,2020-12-18,105.50,138.90,31.66%
139,MOS,2020-11-02,amc,2020-11-03,2020-12-16,17.19,22.62,31.59%
140,KKR,2023-11-07,bmo,2023-11-07,2023-12-20,62.34,82.03,31.58%
141,PTC,2020-10-28,amc,2020-10-29,2020-12-11,85.87,112.98,31.57%
142,FITB,2020-04-21,bmo,2020-04-21,2020-06-03,16.26,21.36,31.37%
143,AVGO,2024-09-05,amc,2024-09-06,2024-10-18,137.00,179.89,31.31%
144,TSLA,2023-04-19,amc,2023-04-20,2023-06-02,162.99,213.97,31.28%
145,ACGL,2020-05-04,bmo,2020-05-04,2020-06-16,23.80,31.22,31.18%
146,PODD,2024-08-08,amc,2024-08-09,2024-09-23,182.19,238.97,31.17%
147,ALB,2020-05-06,amc,2020-05-07,2020-06-19,59.74,78.35,31.15%
148,MRNA,2022-11-03,bmo,2022-11-03,2022-12-16,147.50,193.29,31.04%
149,TPR,2023-11-09,bmo,2023-11-09,2023-12-22,28.28,37.05,31.01%
150,PSKY,2023-11-02,amc,2023-11-03,2023-12-18,12.49,16.32,30.66%
151,C,2020-10-13,bmo,2020-10-13,2020-11-24,43.68,57.06,30.63%
152,FOXA,2021-02-09,bmo,2021-02-09,2021-03-24,30.73,40.12,30.56%
153,BLK,2022-10-13,bmo,2022-10-13,2022-11-25,566.03,737.78,30.34%
154,IBKR,2024-10-15,amc,2024-10-16,2024-11-27,36.70,47.83,30.33%
155,TPL,2022-02-23,amc,2022-02-24,2022-04-07,366.10,476.92,30.27%
156,TAP,2020-10-29,amc,2020-10-30,2020-12-14,35.26,45.92,30.23%
157,FDX,2020-06-30,amc,2020-07-01,2020-08-13,156.66,203.86,30.13%
158,LYV,2020-11-05,bmo,2020-11-05,2020-12-18,56.43,73.43,30.13%
159,XOM,2021-02-02,bmo,2021-02-02,2021-03-17,45.63,59.37,30.11%
160,RTX,2020-10-27,bmo,2020-10-27,2020-12-09,56.53,73.54,30.09%
161,LULU,2020-03-26,amc,2020-03-27,2020-05-11,188.84,245.62,30.07%
162,HST,2020-11-04,bmo,2020-11-04,2020-12-17,10.99,14.29,30.03%
163,K,2024-08-01,bmo,2024-08-01,2024-09-13,62.05,80.68,30.02%
164,ISRG,2022-10-18,amc,2022-10-19,2022-12-01,211.14,274.49,30.00%
165,PLTR,2021-05-11,bmo,2021-05-11,2021-06-23,20.21,26.27,29.99%
166,ALB,2023-05-03,amc,2023-05-04,2023-06-16,175.65,228.17,29.90%
167,BA,2021-01-27,bmo,2021-01-27,2021-03-11,194.03,252.00,29.88%
168,DAL,2020-10-13,bmo,2020-10-13,2020-11-24,31.77,41.26,29.87%
169,AXP,2020-04-24,amc,2020-04-27,2020-06-09,85.06,110.46,29.86%
170,WBD,2020-11-05,bmo,2020-11-05,2020-12-18,21.43,27.80,29.72%
171,NOW,2023-10-25,bmo,2023-10-25,2023-12-07,530.17,687.68,29.71%
172,APO,2020-05-01,bmo,2020-05-01,2020-06-15,39.56,51.29,29.65%
173,MGM,2020-04-30,amc,2020-05-01,2020-06-15,15.01,19.45,29.58%
174,PSX,2021-01-29,bmo,2021-01-29,2021-03-15,67.80,87.84,29.56%
175,TXT,2020-04-30,bmo,2020-04-30,2020-06-12,26.36,34.15,29.55%
176,XOM,2020-10-30,bmo,2020-10-30,2020-12-14,32.62,42.22,29.43%
177,CVX,2021-01-29,bmo,2021-01-29,2021-03-15,85.20,110.25,29.40%
178,PFE,2021-11-02,bmo,2021-11-02,2021-12-15,45.45,58.80,29.37%
179,TER,2024-04-24,amc,2024-04-25,2024-06-07,108.91,140.90,29.37%
180,HAL,2021-04-21,bmo,2021-04-21,2021-06-03,19.10,24.70,29.32%
181,EQR,2020-10-27,amc,2020-10-28,2020-12-10,46.24,59.79,29.30%
182,ERIE,2023-07-27,amc,2023-07-28,2023-09-11,218.95,282.94,29.23%
183,PHM,2023-10-24,bmo,2023-10-24,2023-12-06,71.65,92.46,29.04%
184,TPR,2020-10-29,bmo,2020-10-29,2020-12-11,22.73,29.33,29.04%
185,CBRE,2020-10-29,bmo,2020-10-29,2020-12-11,51.30,66.15,28.95%
186,PODD,2023-11-02,amc,2023-11-03,2023-12-18,162.58,209.63,28.94%
187,AIG,2020-05-04,amc,2020-05-05,2020-06-17,25.06,32.28,28.81%
188,LVS,2021-01-27,bmo,2021-01-27,2021-03-11,49.04,63.16,28.79%
189,CVX,2020-10-30,bmo,2020-10-30,2020-12-14,69.50,89.44,28.69%
190,COF,2021-01-26,amc,2021-01-27,2021-03-11,102.69,132.10,28.64%
191,LRCX,2022-10-19,amc,2022-10-20,2022-12-02,35.59,45.77,28.60%
192,HAL,2022-01-24,bmo,2022-01-24,2022-03-08,28.59,36.76,28.58%
193,DDOG,2020-05-11,amc,2020-05-12,2020-06-24,68.86,88.50,28.52%
194,KEY,2020-10-21,bmo,2020-10-21,2020-12-03,12.42,15.96,28.50%
195,TSCO,2020-04-23,bmo,2020-04-23,2020-06-05,19.02,24.43,28.44%
196,HON,2020-10-30,bmo,2020-10-30,2020-12-14,164.95,211.85,28.43%
197,NEM,2024-02-22,bmo,2024-02-22,2024-04-05,30.89,39.65,28.36%
198,LDOS,2022-02-15,bmo,2022-02-15,2022-03-30,84.50,108.42,28.31%
199,AXON,2020-05-07,bmo,2020-05-07,2020-06-19,70.28,90.12,28.23%
200,HOOD,2024-08-07,amc,2024-08-08,2024-09-20,17.73,22.73,28.20%
201,DIS,2020-11-12,amc,2020-11-13,2020-12-29,138.36,177.30,28.14%
202,IQV,2023-11-01,bmo,2023-11-01,2023-12-14,180.01,230.55,28.08%
203,PNC,2020-10-14,bmo,2020-10-14,2020-11-25,109.83,140.65,28.06%
204,PYPL,2020-11-02,amc,2020-11-03,2020-12-16,179.81,230.20,28.02%
205,PWR,2021-08-05,bmo,2021-08-05,2021-09-17,92.53,118.42,27.98%
206,STLD,2022-01-24,bmo,2022-01-24,2022-03-08,54.70,69.97,27.92%
207,STLD,2022-10-19,amc,2022-10-20,2022-12-02,85.65,109.55,27.90%
208,BXP,2023-11-01,amc,2023-11-02,2023-12-15,55.84,71.42,27.90%
209,PSKY,2022-02-15,amc,2022-02-16,2022-03-31,29.58,37.81,27.82%
210,PANW,2020-11-16,bmo,2020-11-16,2020-12-30,46.42,59.30,27.75%
211,AMD,2023-10-31,amc,2023-11-01,2023-12-14,108.04,138.00,27.73%
212,CVX,2022-01-28,bmo,2022-01-28,2022-03-14,130.61,166.72,27.65%
213,MRNA,2021-05-06,amc,2021-05-07,2021-06-21,163.15,208.24,27.64%
214,NKE,2022-09-29,amc,2022-09-30,2022-11-11,83.12,106.09,27.63%
215,AFL,2020-10-27,bmo,2020-10-27,2020-12-09,35.36,45.12,27.60%
216,LVS,2022-10-19,amc,2022-10-20,2022-12-02,37.59,47.96,27.59%
217,FCX,2021-01-26,bmo,2021-01-26,2021-03-10,27.01,34.46,27.58%
218,KLAC,2020-10-28,amc,2020-10-29,2020-12-11,201.95,257.63,27.57%
219,SNA,2020-04-21,bmo,2020-04-21,2020-06-03,110.54,140.98,27.54%
220,MTCH,2023-05-02,bmo,2023-05-02,2023-06-14,34.59,44.11,27.52%
221,STZ,2020-04-03,bmo,2020-04-03,2020-05-18,132.17,168.51,27.49%
222,ARE,2023-10-23,amc,2023-10-24,2023-12-06,95.57,121.83,27.48%
223,MHK,2020-10-29,amc,2020-10-30,2020-12-14,103.19,131.53,27.46%
224,TKO,2022-12-30,amc,2023-01-03,2023-02-15,68.58,87.41,27.46%
225,WAB,2020-10-29,bmo,2020-10-29,2020-12-11,58.75,74.85,27.40%
226,SBUX,2024-07-30,amc,2024-07-31,2024-09-12,77.95,99.28,27.36%
227,KLAC,2022-10-26,amc,2022-10-27,2022-12-09,308.91,393.41,27.35%
228,SCHW,2020-10-15,bmo,2020-10-15,2020-11-27,39.03,49.70,27.34%
229,SPG,2020-05-11,bmo,2020-05-11,2020-06-23,55.08,70.13,27.32%
230,SYF,2021-01-29,bmo,2021-01-29,2021-03-15,33.65,42.82,27.25%
231,LYB,2020-10-30,bmo,2020-10-30,2020-12-14,68.45,87.10,27.25%
232,F,2021-10-27,amc,2021-10-28,2021-12-10,16.86,21.45,27.22%
233,TER,2021-10-26,amc,2021-10-27,2021-12-09,123.07,156.57,27.22%
234,STLD,2021-04-19,amc,2021-04-20,2021-06-02,50.12,63.75,27.19%
235,PFG,2020-10-26,amc,2020-10-27,2020-12-09,39.35,50.05,27.19%
236,FDX,2020-03-17,amc,2020-03-18,2020-04-30,99.68,126.77,27.18%
237,PANW,2022-02-22,amc,2022-02-23,2022-04-06,79.60,101.13,27.05%
238,RL,2023-11-08,bmo,2023-11-08,2023-12-21,116.47,147.92,27.00%
239,DDOG,2023-05-04,bmo,2023-05-04,2023-06-16,75.40,95.75,26.99%
240,ABNB,2023-11-01,amc,2023-11-02,2023-12-15,115.50,146.60,26.93%
241,JCI,2020-05-01,bmo,2020-05-01,2020-06-15,27.86,35.35,26.88%
242,CEG,2022-08-04,bmo,2022-08-04,2022-09-16,67.46,85.57,26.85%
243,SPG,2023-10-30,amc,2023-10-31,2023-12-13,109.89,139.26,26.73%
244,IVZ,2020-10-27,bmo,2020-10-27,2020-12-09,13.97,17.70,26.70%
245,IPG,2020-10-21,bmo,2020-10-21,2020-12-03,18.70,23.69,26.68%
246,EL,2022-11-02,bmo,2022-11-02,2022-12-15,189.96,240.60,26.66%
247,CB,2020-04-21,amc,2020-04-22,2020-06-04,106.22,134.53,26.65%
248,PPG,2022-10-19,amc,2022-10-20,2022-12-02,108.41,137.30,26.65%
249,POOL,2020-04-23,bmo,2020-04-23,2020-06-05,204.40,258.84,26.63%
250,DVA,2020-10-29,amc,2020-10-30,2020-12-14,86.25,109.19,26.60%
251,F,2020-04-28,bmo,2020-04-28,2020-06-10,5.38,6.81,26.58%
252,NVDA,2024-05-22,amc,2024-05-23,2024-07-09,103.80,131.38,26.57%
253,APO,2020-10-29,bmo,2020-10-29,2020-12-11,37.86,47.90,26.52%
254,TRMB,2023-11-01,bmo,2023-11-01,2023-12-14,40.96,51.78,26.42%
255,AXP,2021-01-26,bmo,2021-01-26,2021-03-10,116.15,146.75,26.35%
256,HBAN,2020-10-22,bmo,2020-10-22,2020-12-04,10.38,13.11,26.30%
257,OXY,2021-05-10,amc,2021-05-11,2021-06-23,24.53,30.96,26.21%
258,CAT,2021-01-29,bmo,2021-01-29,2021-03-15,182.84,230.74,26.20%
259,EPAM,2023-11-02,bmo,2023-11-02,2023-12-15,232.31,293.07,26.15%
260,DAL,2024-10-10,bmo,2024-10-10,2024-11-21,50.29,63.34,25.95%
261,NWSA,2021-02-04,amc,2021-02-05,2021-03-22,21.22,26.71,25.87%
262,COP,2022-08-04,bmo,2022-08-04,2022-09-16,89.88,113.13,25.87%
263,SWKS,2023-11-02,bmo,2023-11-02,2023-12-15,89.50,112.59,25.80%
264,GLW,2020-04-28,bmo,2020-04-28,2020-06-10,22.14,27.85,25.79%
265,LEN,2022-06-21,bmo,2022-06-21,2022-08-03,65.65,82.56,25.76%
266,MU,2022-12-21,amc,2022-12-22,2023-02-07,49.43,62.13,25.69%
267,URI,2021-01-27,amc,2021-01-28,2021-03-12,253.56,317.86,25.36%
268,INTC,2023-10-26,amc,2023-10-27,2023-12-11,35.54,44.54,25.32%
269,SYF,2023-10-24,bmo,2023-10-24,2023-12-06,27.37,34.30,25.32%
270,PNC,2020-04-15,bmo,2020-04-15,2020-05-28,92.43,115.80,25.28%
271,ANET,2023-05-01,amc,2023-05-02,2023-06-14,33.74,42.27,25.28%
272,KEY,2023-10-19,bmo,2023-10-19,2023-12-01,10.56,13.22,25.19%
273,FFIV,2020-10-26,amc,2020-10-27,2020-12-09,136.26,170.58,25.19%
274,LUV,2020-04-28,bmo,2020-04-28,2020-06-10,29.69,37.14,25.09%
275,JCI,2021-01-29,bmo,2021-01-29,2021-03-15,49.82,62.29,25.03%
276,BX,2020-10-28,bmo,2020-10-28,2020-12-10,50.29,62.85,24.98%
277,RF,2020-10-20,bmo,2020-10-20,2020-12-02,12.94,16.17,24.96%
278,GWW,2020-04-23,bmo,2020-04-23,2020-06-05,258.43,322.83,24.92%
279,BLDR,2024-08-06,bmo,2024-08-06,2024-09-18,155.73,194.52,24.91%
280,SWKS,2020-05-04,amc,2020-05-05,2020-06-17,104.71,130.74,24.86%
281,MU,2022-09-29,amc,2022-09-30,2022-11-11,50.10,62.52,24.79%
282,RCL,2022-07-28,bmo,2022-07-28,2022-09-09,37.86,47.24,24.78%
283,NFLX,2023-04-18,amc,2023-04-19,2023-06-01,32.31,40.31,24.76%
284,MRNA,2020-05-07,bmo,2020-05-07,2020-06-19,53.19,66.35,24.74%
285,CDNS,2020-04-20,amc,2020-04-21,2020-06-03,74.59,92.96,24.63%
286,FRT,2020-11-05,amc,2020-11-06,2020-12-21,68.93,85.89,24.60%
287,STX,2020-10-22,amc,2020-10-23,2020-12-07,50.74,63.22,24.60%
288,GDDY,2023-11-02,amc,2023-11-03,2023-12-18,85.56,106.60,24.59%
289,WFC,2024-10-11,bmo,2024-10-11,2024-11-22,60.99,75.96,24.55%
290,MPC,2021-02-02,bmo,2021-02-02,2021-03-17,45.15,56.21,24.50%
291,DASH,2021-05-13,amc,2021-05-14,2021-06-28,141.07,175.60,24.48%
292,CFG,2020-04-17,bmo,2020-04-17,2020-06-01,19.87,24.73,24.46%
293,TPR,2024-11-07,bmo,2024-11-07,2024-12-20,51.55,64.15,24.44%
294,LUV,2020-07-23,amc,2020-07-24,2020-09-04,31.66,39.39,24.42%
295,GEV,2024-10-23,bmo,2024-10-23,2024-12-05,279.88,348.13,24.39%
296,PFG,2021-01-28,amc,2021-01-29,2021-03-15,49.27,61.27,24.36%
297,APH,2020-04-22,bmo,2020-04-22,2020-06-04,20.42,25.39,24.34%
298,CBRE,2023-10-27,bmo,2023-10-27,2023-12-11,66.15,82.25,24.34%
299,APTV,2020-10-29,bmo,2020-10-29,2020-12-11,98.32,122.24,24.33%
300,BKR,2022-01-20,bmo,2022-01-20,2022-03-04,26.72,33.22,24.33%
301,EFX,2023-10-18,bmo,2023-10-18,2023-11-30,175.16,217.71,24.29%
302,LUV,2023-10-26,bmo,2023-10-26,2023-12-08,23.39,29.07,24.28%
303,STX,2021-01-21,amc,2021-01-22,2021-03-08,60.00,74.56,24.27%
304,MAS,2023-10-26,bmo,2023-10-26,2023-12-08,51.53,64.00,24.20%
305,ANET,2024-05-06,amc,2024-05-07,2024-06-20,68.50,85.05,24.16%
306,FCX,2022-01-26,bmo,2022-01-26,2022-03-10,38.43,47.71,24.15%
307,MPWR,2023-05-04,amc,2023-05-05,2023-06-20,411.27,510.23,24.06%
308,LLY,2021-04-27,bmo,2021-04-27,2021-06-09,182.21,226.00,24.03%
309,PODD,2024-05-09,amc,2024-05-10,2024-06-25,165.90,205.75,24.02%
310,WAT,2023-11-07,bmo,2023-11-07,2023-12-20,260.67,323.25,24.01%
311,VRSK,2022-02-22,amc,2022-02-23,2022-04-06,177.62,220.25,24.00%
312,GDDY,2024-10-30,amc,2024-10-31,2024-12-13,166.80,206.78,23.97%
313,DG,2020-03-12,bmo,2020-03-12,2020-04-24,141.97,175.98,23.96%
314,PCG,2020-10-29,amc,2020-10-30,2020-12-14,9.56,11.85,23.95%
315,FDX,2022-12-20,amc,2022-12-21,2023-02-06,169.99,210.59,23.88%
316,CARR,2020-05-08,bmo,2020-05-08,2020-06-22,18.36,22.74,23.86%
317,NVR,2020-04-23,amc,2020-04-24,2020-06-08,2847.37,3524.75,23.79%
318,GM,2020-05-06,bmo,2020-05-06,2020-06-18,21.89,27.09,23.76%
