rank,symbol,earnings_date,time_of_day,from_date,to_date,from_close,to_close,pct_change
1,SMCI,2024-01-29,bmo,2024-01-29,2024-03-12,49.57,116.30,134.62%
2,MRNA,2020-10-29,bmo,2020-10-29,2020-12-11,71.28,156.93,120.16%
3,EQT,2020-02-27,bmo,2020-02-27,2020-04-09,5.38,10.82,101.12%
4,SMCI,2023-05-02,amc,2023-05-03,2023-06-15,13.40,24.39,82.01%
5,PLTR,2020-11-12,bmo,2020-11-12,2020-12-28,14.58,25.63,75.79%
6,APA,2020-11-04,bmo,2020-11-04,2020-12-17,8.99,15.75,75.19%
7,COIN,2023-11-02,bmo,2023-11-02,2023-12-15,84.60,147.90,74.82%
8,FANG,2020-11-02,bmo,2020-11-02,2020-12-15,27.71,48.16,73.80%
9,COIN,2024-10-30,amc,2024-10-31,2024-12-13,179.25,310.58,73.27%
10,DVN,2020-10-29,amc,2020-10-30,2020-12-14,8.93,15.37,72.12%
11,HOOD,2024-10-30,amc,2024-10-31,2024-12-13,23.49,40.20,71.14%
12,APP,2021-05-12,amc,2021-05-13,2021-06-25,49.87,84.86,70.16%
13,XYZ,2023-11-02,bmo,2023-11-02,2023-12-15,43.98,74.21,68.74%
14,HAL,2020-04-20,bmo,2020-04-20,2020-06-02,7.63,12.69,66.32%
15,DRI,2020-03-19,bmo,2020-03-19,2020-05-01,42.42,69.85,64.66%
16,APP,2024-08-07,amc,2024-08-08,2024-09-20,76.73,126.09,64.33%
17,OXY,2022-02-24,amc,2022-02-25,2022-04-08,38.74,61.80,59.53%
18,EQT,2022-02-09,amc,2022-02-10,2022-03-25,21.67,34.33,58.42%
19,BA,2020-10-28,bmo,2020-10-28,2020-12-10,148.14,234.43,58.25%
20,WSM,2020-03-18,amc,2020-03-19,2020-05-01,19.13,30.13,57.50%
21,LEN,2020-03-19,bmo,2020-03-19,2020-05-01,31.61,49.46,56.47%
22,SYF,2020-04-21,bmo,2020-04-21,2020-06-03,15.17,23.69,56.16%
23,NCLH,2023-11-01,bmo,2023-11-01,2023-12-14,13.10,20.35,55.34%
24,HOOD,2023-11-07,amc,2023-11-08,2023-12-21,8.37,12.89,54.09%
25,PHM,2020-04-23,bmo,2020-04-23,2020-06-05,23.87,36.72,53.83%
26,TRGP,2020-05-07,bmo,2020-05-07,2020-06-19,13.42,20.61,53.58%
27,FSLR,2022-07-28,bmo,2022-07-28,2022-09-09,88.50,135.82,53.47%
28,MOS,2022-02-22,amc,2022-02-23,2022-04-06,45.20,69.19,53.08%
29,GE,2020-10-28,bmo,2020-10-28,2020-12-10,36.94,56.36,52.57%
30,AMD,2023-05-02,amc,2023-05-03,2023-06-15,81.62,124.24,52.22%
31,TRGP,2020-11-05,bmo,2020-11-05,2020-12-18,17.74,26.95,51.92%
32,FSLR,2024-05-01,amc,2024-05-02,2024-06-14,180.51,273.61,51.58%
33,HOOD,2024-02-13,amc,2024-02-14,2024-03-28,13.38,20.13,50.45%
34,CRWD,2020-03-19,amc,2020-03-20,2020-05-04,49.01,73.43,49.83%
35,TSLA,2024-10-23,amc,2024-10-24,2024-12-06,260.48,389.22,49.42%
36,COP,2020-10-29,bmo,2020-10-29,2020-12-11,29.16,43.48,49.11%
37,TPL,2020-11-02,amc,2020-11-03,2020-12-16,161.33,239.97,48.74%
38,VLO,2020-10-22,bmo,2020-10-22,2020-12-04,41.28,61.27,48.43%
39,CCL,2022-09-30,bmo,2022-09-30,2022-11-11,7.03,10.35,47.23%
